Date and time;Alarm;Status
18/06/2022 19:39:05;Sensor #4 High Temp;OFF
18/06/2022 19:23:16;Sensor #4 High Temp;ON
18/06/2022 19:08:29;Sensor #1 IR is TRUE;OFF
18/06/2022 19:05:56;Sensor #1 IR is TRUE;ON
18/06/2022 19:03:54;Sensor #1 IR is TRUE;OFF
18/06/2022 19:02:52;Sensor #1 IR is TRUE;ON
18/06/2022 19:00:50;Sensor #1 IR is TRUE;OFF
18/06/2022 18:56:45;Sensor #1 IR is TRUE;ON
18/06/2022 18:55:44;Sensor #1 IR is TRUE;OFF
18/06/2022 18:54:43;Sensor #1 IR is TRUE;ON
18/06/2022 18:54:12;Sensor #1 IR is TRUE;OFF
18/06/2022 18:51:39;Sensor #3 High Soil Hum;ON
18/06/2022 18:51:39;Sensor #3 Low Soil Hum;OFF
18/06/2022 18:51:09;Sensor #3 Low Soil Hum;ON
18/06/2022 18:51:09;Sensor #3 High Soil Hum;OFF
18/06/2022 18:40:57;Sensor #1 IR is TRUE;ON
18/06/2022 18:40:26;Sensor #1 IR is TRUE;OFF
18/06/2022 18:38:24;Sensor #3 High Soil Hum;ON
18/06/2022 18:38:24;Sensor #3 Low Soil Hum;OFF
18/06/2022 18:36:22;Sensor #4 High Temp;OFF
18/06/2022 18:36:22;Sensor #1 High Hum;OFF
18/06/2022 18:36:22;Sensor #1 High Temp;OFF
18/06/2022 18:32:16;Sensor #4 High Temp;ON
18/06/2022 18:32:16;Sensor #3 Low Soil Hum;ON
18/06/2022 18:32:16;Sensor #1 IR is TRUE;ON
18/06/2022 18:32:16;Sensor #1 High Hum;ON
18/06/2022 18:32:16;Sensor #1 High Temp;ON
17/06/2022 11:28:51;Last sensor or Gateway Communication error;ON
17/06/2022 09:43:56;Sensor #4 test button pressed;OFF
17/06/2022 09:43:26;Sensor #4 test button pressed;ON
17/06/2022 09:41:06;Last sensor or Gateway Communication error;ON
13/06/2022 10:52:39;Sensor #27 Low Supercapacitor voltage;OFF
13/06/2022 10:52:10;Sensor #27 module error;OFF
13/06/2022 10:52:10;Sensor #26 Low Supercapacitor voltage;OFF
13/06/2022 10:52:10;Sensor #26 module error;OFF
13/06/2022 10:52:10;Sensor #25 Low Supercapacitor voltage;OFF
13/06/2022 10:52:10;Sensor #25 module error;OFF
13/06/2022 10:52:10;Sensor #24 Low Supercapacitor voltage;OFF
13/06/2022 10:52:10;Sensor #24 module error;OFF
13/06/2022 10:52:10;Sensor #23 Low Supercapacitor voltage;OFF
13/06/2022 10:52:10;Sensor #23 module error;OFF
13/06/2022 10:52:09;Sensor #22 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #22 module error;OFF
13/06/2022 10:52:09;Sensor #21 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #21 module error;OFF
13/06/2022 10:52:09;Sensor #20 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #20 module error;OFF
13/06/2022 10:52:09;Sensor #19 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #19 module error;OFF
13/06/2022 10:52:09;Sensor #18 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #18 module error;OFF
13/06/2022 10:52:09;Sensor #17 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #17 module error;OFF
13/06/2022 10:52:09;Sensor #16 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #16 module error;OFF
13/06/2022 10:52:09;Sensor #15 Low Supercapacitor voltage;OFF
13/06/2022 10:52:09;Sensor #15 module error;OFF
13/06/2022 10:52:08;Sensor #14 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #14 module error;OFF
13/06/2022 10:52:08;Sensor #13 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #13 module error;OFF
13/06/2022 10:52:08;Sensor #12 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #12 module error;OFF
13/06/2022 10:52:08;Sensor #11 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #11 module error;OFF
13/06/2022 10:52:08;Sensor #10 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #10 module error;OFF
13/06/2022 10:52:08;Sensor #9 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #9 module error;OFF
13/06/2022 10:52:08;Sensor #8 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #8 module error;OFF
13/06/2022 10:52:08;Sensor #7 Low Supercapacitor voltage;OFF
13/06/2022 10:52:08;Sensor #7 module error;OFF
13/06/2022 10:52:07;Sensor #6 Low Supercapacitor voltage;OFF
13/06/2022 10:52:07;Sensor #6 module error;OFF
13/06/2022 10:52:07;Sensor #5 Low Supercapacitor voltage;OFF
13/06/2022 10:52:07;Sensor #5 module error;OFF
13/06/2022 10:52:07;Sensor #4 Low Supercapacitor voltage;OFF
13/06/2022 10:52:07;Sensor #4 module error;OFF
13/06/2022 10:52:07;Sensor #3 Low Supercapacitor voltage;OFF
13/06/2022 10:52:07;Sensor #3 module error;OFF
13/06/2022 10:52:07;Sensor #2 Low Supercapacitor voltage;OFF
13/06/2022 10:52:07;Sensor #2 module error;OFF
13/06/2022 10:52:07;Sensor #1 Low Supercapacitor voltage;OFF
13/06/2022 10:52:07;Sensor #1 module error;OFF
13/06/2022 10:50:50;Last sensor or Gateway Communication error;OFF
13/06/2022 10:49:51;Sensor #27 module error;ON
13/06/2022 10:49:51;Sensor #27 Low Supercapacitor voltage;ON
